displayName,category,evidence
cohealth Innerspace,exclude,"cohealth community health — drug safety services, not a GP competitor"
Flying Needles TCM,exclude,Traditional Chinese Medicine — not a GP clinic
Prideworthy,exclude,Mental health social worker / counsellor at Abbotsford Convent — not a GP
Dr Edna Lekgabe,exclude,Perinatal & reproductive psychiatrist
Dr Sophia Richardson,exclude,Oral & maxillofacial surgeon
Erica Michaelson,exclude,Podiatrist (cliftonhillpodiatry.com.au)
Epworth Richmond - Dr Indreshra Rasaratnam,exclude,Epworth hospital specialist
The Bromham Clinic,exclude,"Specialist clinic (unclear type, not GP — no GP indicators found)"
Dr Benjamin Burt,exclude,Oculoplastic surgeon (drbenjaminburt.com.au)
DOCTOR SHAMMI,exclude,"Dermatologist (Dr Shammi Theesan, ODE Dermatology)"
Dr Shyamalar Gunatheesan,exclude,Dermatologist (Fairfield Dermatology Clinic)
Dr. Simon Holland,exclude,Orthopaedic shoulder surgeon (simonholland.com.au)
Mary Michalopoulos,exclude,Podiatrist (podiatristmary.com)
Tangas Christine,exclude,"Ophthalmologist (East Melbourne Eye Group, FRANZCO)"
Dr Rodger Davies,exclude,"Oculoplastic eye surgeon (rodgerdavies.com.au, FRANZCO)"
Dr Ben Nash,exclude,Endocrinologist & diabetes specialist (drbennash.com.au)
Dr Joseph Sgroi,exclude,"Obstetrician, gynaecologist & IVF specialist (drjoseph.com.au)"
Be Well Hawthorn,exclude,Health club / wellness longevity clinic — not a GP
Fatigue Services,exclude,Fatigue/ME-CFS service — not a GP clinic
Hatched House,exclude,"Women's health clinic — fertility, pregnancy, physiotherapy (not GP)"
Lygon Therapy,exclude,Psychology / counselling practice (lygontherapy.com.au)
Maxfac Clinic,exclude,Oral surgery specialist (maxfacclinic.com)
Dr Edmund Ek,exclude,"Plastic surgeon (Melbourne Institute of Plastic Surgery, 600 Victoria St)"
Dr Ian Loh,exclude,"Plastic & reconstructive surgeon (600 Victoria St, same as Dr Ek)"
Dr Kim le Marshall,exclude,"Rheumatologist (140 Church St, Richmond)"
Dr Paul Wendiggensen,exclude,"Psychiatrist (The Melbourne Clinic, 140 Church St)"
Dr Hieu Pham,exclude,"Psychiatrist (140 Church St Consulting Suites, Richmond)"
Dr Brendan chan,exclude,"Paediatrician (Epworth Freemasons, FRACP)"
FMIG Hawthorn,exclude,"Medical imaging group (X-ray, CT, MRI) — not a GP clinic"
Nabenet,exclude,"Not found as GP clinic — name unclear, no GP evidence found"
LeafMed Australia,exclude,Medical cannabis clinic — not a standard GP practice
Stable Health - Fitzroy North,exclude,Allied health / therapy rooms for rent — not a GP
Nicole,exclude,5 Hood St Collingwood is CARE veterinary centre — not a GP
Dr Quynh (Quy) Nguyen,exclude,Cardiologist (healthengine: Cardiologist Richmond)
MINT CLINIC - Dr Shamistra Barathan - Integrative General Practitioner,gp_independent,GP — name explicitly says 'General Practitioner'
Dr Tom Morley,gp_independent,GP at PRONTO! (drtommorley.com — GP with special interests)
Chan S O,gp_independent,"GP at Smith Street Medical Centre (272A Smith St, Collingwood)"
DR Oliver YM Wu,gp_independent,"GP at Smith Street Medical Centre (272A Smith St, same address as Chan)"
Dr. Wai Kwen Pun,gp_independent,"GP (gps-data-team.info lists as GP, integrative medicine)"
Reclaim Health,gp_independent,GP practice (healthdirect lists as GP general practice)
EBMC on Queens,gp_independent,Queens Parade Medical Centre (healthdirect: GP general practice)
Dr Hieu Nguyen,gp_independent,GP at Richmond General Medical Centre (266 Victoria St)
Dr. Cuc Nguyen,gp_independent,"GP at Richmond General Medical Centre (266 Victoria St, FRACGP)"
Dr Nicole Gale,gp_independent,GP (FRACGP) at Juno Specialists — specialist GP / lactation consultant
Dr Liz Morris,gp_independent,"GP (drlizmorris.com.au, Yarra Medical Richmond)"
Bella Freeman,gp_independent,"GP (FRACGP) at Medical One, Victoria Gardens Richmond"
Dr John Chow,gp_independent,"GP (FRACGP) at 140 Church St, Richmond"
Dr Wooi Chen,gp_independent,GP at Richmond North Medical Clinic (36 Church St)
Dr. Burgin David C,gp_independent,"GP (446 Nicholson St, Fitzroy North — listed as doctor/GP)"
DR KATHERINE LYPOURLIS,gp_independent,GP (Doctify: General Practitioner at 460 Brunswick St)
Dr Sophie Mancey-Jones,gp_independent,GP (Healthengine: Doctor GP Fitzroy North)
Dr Deepak Sidhu,gp_independent,GP (Healthengine: Doctor GP Melbourne)
Dr Cheng-Jie Gu,gp_independent,"GP (FRACGP, Beingwell Melbourne / Reclaim Health)"
cohealth Fitzroy,gp_independent,GP (cohealth.org.au: bulk-billed GP services at 75 Brunswick St)
Brunswick Betta Health,gp_independent,"GP clinic (healthengine: multiple GPs, bulk billing)"
Parkville Precinct Medical,gp_independent,GP practice (parkvilleprecinctmedical.com.au — mixed billing GP)
CBD Doctors Melbourne,gp_independent,GP clinic (cbddoctorsmelbourne.com.au — family GP clinic)
Berera V K,gp_independent,"GP (healthengine: Doctor GP Northcote, 68 Victoria Rd)"
Massarany T P,gp_independent,"GP (healthdirect: Dr Massarany's Surgery, GP general practice)"
GP2home,gp_independent,GP home visit service (after-hours bulk-billed GP)
Northside Clinic,gp_independent,"GP clinic (northsideclinic.net.au — general practice, 370 St Georges Rd)"
South Melbourne Medical Hub,gp_independent,GP clinic (southmelbournemedicalhub.com.au — family GP practice)
Era Health Doctor Melbourne CBD,gp_independent,"GP clinic (erahealth.com.au — GPs, physios, podiatrists)"
Doctor Nguyen,gp_independent,"GP at Elizabeth St Medical Centre, Richmond (co-located with other GPs)"
